CAS,PLANET,Glide_SP
847950-09-8,8.552,-11.615
28543-07-9,8.576,-10.714
2260886-64-2,10.678,-10.32
1232030-35-1,8.324,-10.215
1234356-69-4,7.913,-10.154
2172617-16-0,9.799,-9.929
53452-16-7,7.556,-9.85
185039-89-8,9.12,-9.799
955365-80-7,8.61,-9.799
837422-57-8,8.308,-9.785
743461-65-6,10.257,-9.718
260415-63-2,7.776,-9.688
670220-88-9,8.412,-9.552
1858206-76-4,7.524,-9.54
30462-35-2,9.142,-9.536
86831-54-1,7.339,-9.448
343787-29-1,8.326,-9.369
2328094-11-5,7.318,-9.274
1345098-78-3,7.736,-9.259
138489-18-6,7.423,-9.233
1374356-45-2,8.254,-9.233
62499-28-9,7.609,-9.228
7085-55-4,8.523,-9.191
1633044-56-0,9.583,-9.119
648903-57-5,7.16,-9.035
1265965-22-7,7.756,-9.034
c1ccc(Cl)c(c1C)NC(=O)c2cnc(s2)Nc3cc(nc(n3)C)N4CCN(CC4)C(=O)COCCOCCOCCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H]([NH3+])Cc5ccccc5,10.048,-8.996
2463200-44-2,10.486,-8.971
22153-44-2,7.411,-8.966
221244-14-0,7.302,-8.952
603288-22-8,8.461,-8.943
1781882-65-2,10.538,-8.941
1835283-94-7,7.96,-8.935
1012343-93-9,7.972,-8.928
1258392-53-8,9.398,-8.911
18378-89-7,8.837,-8.885
1170856-93-5,7.676,-8.869
1661854-97-2,8.141,-8.861
1874276-76-2,8.715,-8.855
170364-57-5,7.722,-8.851
1239875-86-5,8.351,-8.842
290304-24-4,8.392,-8.827
945614-12-0,7.283,-8.814
827318-97-8,8.259,-8.776
1092788-83-4,7.326,-8.775
888216-25-9,7.379,-8.749
1971920-73-6,7.252,-8.732
867331-64-4,8.4,-8.731
899805-25-5,8.839,-8.722
1188296-52-7,7.313,-8.707
2080306-21-2,8.276,-8.681
1414943-88-6,7.04,-8.68
N=[S@@](=O)(C)Cc1cc(ccc1)Nc2nc(ncn2)-c3ccc(F)cc3OC,7.04,-8.68
250279-81-1,7.04,-8.68
30462-34-1,8.641,-8.667
2310134-98-4,7.179,-8.659
172889-26-8,7.317,-8.631
2113650-04-5,7.477,-8.629
1245537-68-1,9.375,-8.627
910232-84-7,8.641,-8.621
2041075-86-7,8.016,-8.606
CC(C)n1c(CO)nc(c12)c(F)cc(c2)-c3nc(ncc3F)Nc4ncc(cc4)C[NH+]5CCNCC5,8.338,-8.567
334949-59-6,7.612,-8.562
2349356-09-6,12.208,-8.561
1432597-26-6,7.266,-8.559
425637-18-9,7.506,-8.552
468740-43-4,7.652,-8.551
182431-12-5,7.628,-8.543
1228960-69-7,9.667,-8.521
1436383-95-7,7.354,-8.52
334951-92-7,7.753,-8.503
1818314-88-3,7.412,-8.5
476159-98-5,7.282,-8.498
1035638-91-5,7.059,-8.482
123663-49-0,7.112,-8.472
1357470-29-1,7.788,-8.469
1158838-45-9,8.326,-8.467
909561-15-5,8.292,-8.459
172889-27-9,7.396,-8.437
2254409-25-9,8.068,-8.434
2060571-02-8,7.539,-8.432
1134156-31-2,8.775,-8.432
1825345-33-2,7.508,-8.418
1386874-06-1,7.539,-8.415
1391712-60-9,8.564,-8.408
2093421-02-2,7.05,-8.408
890842-28-1,7.316,-8.398
1449597-34-5,8.165,-8.395
781613-23-8,7.478,-8.387
1358715-18-0,7.463,-8.384
81-27-6,7.319,-8.384
1039758-22-9,8.567,-8.38
503612-47-3,8.342,-8.379
781649-09-0,7.413,-8.35
1604811-14-4,8.511,-8.333
1610358-53-6,7.739,-8.332
113558-15-9,7.387,-8.332
439575-02-7,8.956,-8.328
53209-27-1,8.819,-8.301
497839-62-0,8.227,-8.295
1805787-93-2,7.814,-8.292
1028385-32-1,7.415,-8.287
1260251-31-7,7.109,-8.287
1351635-67-0,7.272,-8.279
1333146-24-9,7.695,-8.278
1423186-80-4,7.945,-8.273
1370466-81-1,7.451,-8.27
1275582-97-2,7.421,-8.238
1224844-38-5,7.278,-8.232
1071098-42-4,7.46,-8.224
1797432-62-2,8.518,-8.213
878739-06-1,7.363,-8.21
2377141-31-4,7.665,-8.203
2229036-62-6,14.026,-8.194
2123491-32-5,7.334,-8.194
900185-02-6,8.065,-8.188
1799631-75-6,11.508,-8.182
2138861-99-9,8.236,-8.182
869288-64-2,8.672,-8.173
134-35-0,7.654,-8.173
96736-11-7,8.905,-8.163
1448169-71-8,7.404,-8.161
398493-79-3,8.35,-8.151
1808288-51-8,9.331,-8.149
1450666-80-4,7.856,-8.139
379231-04-6,8.158,-8.136
1337531-36-8,7.968,-8.111
2138299-34-8,12.766,-8.107
1421372-66-8,9.075,-8.106
1515888-53-5,7.246,-8.102
127191-97-3,8.911,-8.089
1108743-60-7,8.909,-8.085
1300031-49-5,7.7,-8.076
2239273-34-6,8.348,-8.075
863598-09-8,7.729,-8.061
1609281-86-8,8.765,-8.059
1361951-15-6,7.718,-8.055
187269-40-5,9.237,-8.051
929095-18-1,7.807,-8.047
1337532-29-2,8.284,-8.041
1226549-49-0,8.582,-8.041
1627503-67-6,7.17,-8.015
1089283-49-7,9.942,-8.006
2229974-83-6,12.67,-8.003
1260533-36-5,8.152,-8
1110813-31-4,8.287,-7.996
1693758-51-8,9.222,-7.98
917393-39-6,7.453,-7.98
1820684-31-8,9.122,-7.974
1188890-28-9,7.913,-7.966
1626387-80-1,7.775,-7.957
863031-21-4,9.617,-7.956
1802661-73-9,7.212,-7.949
1276105-89-5,9.944,-7.949
443913-73-3,7.405,-7.949
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)Nc4c(C)cccc4NC(=O)/C(C#N)=C\CC(C)(C)C,9.079,-7.948
219580-11-7,8.318,-7.946
936563-96-1,7.161,-7.941
181223-80-3,8.8,-7.939
1936428-93-1,7.588,-7.931
2118356-96-8,8.272,-7.93
2349356-39-2,12.61,-7.924
1173900-33-8,7.668,-7.909
2409479-29-2,8.175,-7.907
1346527-98-7,7.251,-7.907
1186206-79-0,8.182,-7.904
1257852-96-2,8.968,-7.903
2170606-74-1,9.753,-7.901
1801333-55-0,7.535,-7.896
1234423-95-0,8.455,-7.893
171228-49-2,7.898,-7.888
2306178-56-1,7.308,-7.882
10236-47-2,7.025,-7.881
2138299-29-1,11.232,-7.871
334951-90-5,8.859,-7.867
548-75-4,7.636,-7.866
1257704-57-6,7.759,-7.846
1353859-00-3,7.514,-7.842
1332331-08-4,7.215,-7.836
1337531-06-2,7.684,-7.833
2499663-01-1,7.753,-7.825
940310-85-0,7.84,-7.818
879487-87-3,7.325,-7.817
1619903-54-6,7.847,-7.816
945396-55-4,8.996,-7.815
c1ccccc1-c(c2N)c(N[C@H](CC3(C)C)CC(C)(C)[N@@H+]3C)nc(n24)c(cn4)-c5cc(OC)c(OC)cc5,8.02,-7.814
1448693-69-3,7.125,-7.813
1800506-48-2,8.603,-7.812
1202757-89-8,7.011,-7.812
2227149-22-4,8.621,-7.808
705946-27-6,8.851,-7.806
1698024-73-5,7.039,-7.804
1959551-27-9,7.032,-7.803
1883429-21-7,7.448,-7.798
206275-15-2,7.612,-7.796
635324-72-0,7.313,-7.796
486424-20-8,7.307,-7.79
1029712-80-8,7.023,-7.788
860352-01-8,7.144,-7.786
161172-51-6,7.438,-7.783
1430723-35-5,7.716,-7.776
1799633-27-4,10.871,-7.775
870281-82-6,7.102,-7.775
802539-81-7,7.731,-7.772
1354825-58-3,8.285,-7.769
1013920-15-4,7.326,-7.768
724711-21-1,7.258,-7.768
1472795-20-2,8.726,-7.763
177707-12-9,7.388,-7.738
2095719-90-5,7.628,-7.735
37064-30-5,11.498,-7.734
745833-23-2,7.257,-7.733
49619-87-6,8.254,-7.732
939805-30-8,8.137,-7.72
1628291-95-1,7.272,-7.718
1397-89-3,10.008,-7.712
1393465-84-3,7.195,-7.71
1910124-24-1,8.464,-7.708
1206711-16-1,7.381,-7.707
11021-13-9,7.397,-7.704
1898283-02-7,8.498,-7.703
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)Nc4c(C)cccc4NC(=O)[C@H](C#N)C,8.237,-7.697
O=C1C(C)=C(C)C(=O)C(C)=C1C(C)(C)CC(=O)N(Cc(ccc2)cc2-c(cc3)ccc3Cl)CCCCSC[C@@H]4[C@@H](O)[C@@H](O)[C@@H](O4)n5cnc(c56)c(N)ncn6,8.233,-7.695
867160-71-2,7.44,-7.686
2079895-42-2,7.561,-7.68
1790895-25-8,7.138,-7.67
959860-85-6,7.996,-7.668
1496581-76-0,7.877,-7.668
288250-47-5,7.161,-7.649
1464151-33-4,7.254,-7.649
1033805-28-5,8.093,-7.636
2096992-20-8,7.735,-7.636
122341-38-2,12.169,-7.633
1421373-62-7,9.255,-7.632
602306-29-6,7.4,-7.632
944118-01-8,8.09,-7.629
1421693-22-2,7.232,-7.626
918505-61-0,7.422,-7.622
1431698-10-0,9.271,-7.603
1133432-46-8,8.448,-7.597
1133432-50-4,8.448,-7.597
FC1(F)CCN(C1)c2nc([C@@H]3CC[NH2+]C3)cc(n2)Nc(c4)ncc(c45)cnn5C(C)C,8.313,-7.595
1133432-49-1,8.436,-7.594
1292310-49-6,8.061,-7.593
1038620-68-6,9.038,-7.593
443797-96-4,7.012,-7.587
149402-51-7,10.913,-7.584
1415559-43-1,7.332,-7.578
14937-32-7,10.756,-7.574
92339-11-2,9.312,-7.571
729607-74-3,7.323,-7.569
700874-72-2,7.627,-7.565
873837-23-1,7.616,-7.564
2009273-71-4,7.045,-7.561
2140807-05-0,7.654,-7.561
919486-40-1,7.023,-7.557
77883-43-3,7.762,-7.555
1013101-36-4,8.313,-7.554
CCOC(=O)[C@H](CCCC1)N1C(=O)C(=O)[C@@]2(O)[C@H](C)CC[C@H](O2)C[C@H](OC)/C(C)=C/C=C/C=C/[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)/C(C)=C/[C@@H](C)C(=O)/C=C/[C@H](C)C[C@@H]3CC[C@@H](O)[C@@H](C3)OC,7.712,-7.552
119413-54-6,7.76,-7.549
96760-69-9,7.011,-7.549
1620576-64-8,7.781,-7.548
1604810-84-5,7.58,-7.545
1061318-81-7,7.379,-7.543
870823-12-4,7.758,-7.541
1315330-17-6,9.013,-7.535
1223001-51-1,7.059,-7.534
298-83-9,7.526,-7.533
1374828-69-9,7.524,-7.533
1092364-38-9,7.98,-7.53
663619-89-4,7.499,-7.528
1951483-29-6,7.277,-7.524
257933-82-7,9.008,-7.523
1038984-31-4,7.416,-7.505
848942-61-0,7.762,-7.498
